2023-02-05 12:24:15,988 INFO    MainThread:1708802 [wandb_setup.py:_flush():68] Configure stats pid to 1708802
2023-02-05 12:24:15,989 INFO    MainThread:1708802 [wandb_setup.py:_flush():68] Loading settings from /home/taerim/.config/wandb/settings
2023-02-05 12:24:15,989 INFO    MainThread:1708802 [wandb_setup.py:_flush():68] Loading settings from /home/taerim/PRIMNET-V2/wandb/settings
2023-02-05 12:24:15,989 INFO    MainThread:1708802 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-05 12:24:15,989 INFO    MainThread:1708802 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'code/main.py', 'program': '/home/taerim/PRIMNET-V2/code/main.py'}
2023-02-05 12:24:15,989 INFO    MainThread:1708802 [wandb_init.py:_log_setup():478] Logging user logs to /home/taerim/PRIMNET-V2/wandb/run-20230205_122415-0335pvck/logs/debug.log
2023-02-05 12:24:15,989 INFO    MainThread:1708802 [wandb_init.py:_log_setup():479] Logging internal logs to /home/taerim/PRIMNET-V2/wandb/run-20230205_122415-0335pvck/logs/debug-internal.log
2023-02-05 12:24:15,989 INFO    MainThread:1708802 [wandb_init.py:init():518] calling init triggers
2023-02-05 12:24:15,989 INFO    MainThread:1708802 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-02-05 12:24:15,990 INFO    MainThread:1708802 [wandb_init.py:init():571] starting backend
2023-02-05 12:24:15,990 INFO    MainThread:1708802 [wandb_init.py:init():575] setting up manager
2023-02-05 12:24:15,993 INFO    MainThread:1708802 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-05 12:24:15,997 INFO    MainThread:1708802 [wandb_init.py:init():582] backend started and connected
2023-02-05 12:24:15,999 INFO    MainThread:1708802 [wandb_init.py:init():670] updated telemetry
2023-02-05 12:24:16,025 INFO    MainThread:1708802 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-02-05 12:24:16,545 INFO    MainThread:1708802 [wandb_run.py:_on_init():2121] communicating current version
2023-02-05 12:24:16,666 INFO    MainThread:1708802 [wandb_run.py:_on_init():2125] got version response 
2023-02-05 12:24:16,666 INFO    MainThread:1708802 [wandb_init.py:init():758] starting run threads in backend
2023-02-05 12:24:16,843 INFO    MainThread:1708802 [wandb_run.py:_console_start():2101] atexit reg
2023-02-05 12:24:16,843 INFO    MainThread:1708802 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-02-05 12:24:16,843 INFO    MainThread:1708802 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-02-05 12:24:16,843 INFO    MainThread:1708802 [wandb_run.py:_redirect():2046] Redirects installed.
2023-02-05 12:24:16,845 INFO    MainThread:1708802 [wandb_init.py:init():798] run started, returning control to user process
