2023-02-05 12:37:15,343 INFO    MainThread:1727332 [wandb_setup.py:_flush():68] Configure stats pid to 1727332
2023-02-05 12:37:15,344 INFO    MainThread:1727332 [wandb_setup.py:_flush():68] Loading settings from /home/taerim/.config/wandb/settings
2023-02-05 12:37:15,344 INFO    MainThread:1727332 [wandb_setup.py:_flush():68] Loading settings from /home/taerim/PRIMNET-V2/wandb/settings
2023-02-05 12:37:15,344 INFO    MainThread:1727332 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-05 12:37:15,344 INFO    MainThread:1727332 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'code/main.py', 'program': '/home/taerim/PRIMNET-V2/code/main.py'}
2023-02-05 12:37:15,344 INFO    MainThread:1727332 [wandb_init.py:_log_setup():478] Logging user logs to /home/taerim/PRIMNET-V2/wandb/run-20230205_123715-thvpmhsl/logs/debug.log
2023-02-05 12:37:15,344 INFO    MainThread:1727332 [wandb_init.py:_log_setup():479] Logging internal logs to /home/taerim/PRIMNET-V2/wandb/run-20230205_123715-thvpmhsl/logs/debug-internal.log
2023-02-05 12:37:15,344 INFO    MainThread:1727332 [wandb_init.py:init():518] calling init triggers
2023-02-05 12:37:15,345 INFO    MainThread:1727332 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-02-05 12:37:15,345 INFO    MainThread:1727332 [wandb_init.py:init():571] starting backend
2023-02-05 12:37:15,345 INFO    MainThread:1727332 [wandb_init.py:init():575] setting up manager
2023-02-05 12:37:15,348 INFO    MainThread:1727332 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-05 12:37:15,352 INFO    MainThread:1727332 [wandb_init.py:init():582] backend started and connected
2023-02-05 12:37:15,355 INFO    MainThread:1727332 [wandb_init.py:init():670] updated telemetry
2023-02-05 12:37:15,383 INFO    MainThread:1727332 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-02-05 12:37:15,915 INFO    MainThread:1727332 [wandb_run.py:_on_init():2121] communicating current version
2023-02-05 12:37:16,029 INFO    MainThread:1727332 [wandb_run.py:_on_init():2125] got version response 
2023-02-05 12:37:16,029 INFO    MainThread:1727332 [wandb_init.py:init():758] starting run threads in backend
2023-02-05 12:37:16,202 INFO    MainThread:1727332 [wandb_run.py:_console_start():2101] atexit reg
2023-02-05 12:37:16,202 INFO    MainThread:1727332 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-02-05 12:37:16,202 INFO    MainThread:1727332 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-02-05 12:37:16,203 INFO    MainThread:1727332 [wandb_run.py:_redirect():2046] Redirects installed.
2023-02-05 12:37:16,203 INFO    MainThread:1727332 [wandb_init.py:init():798] run started, returning control to user process
