2023-02-06 06:52:39,435 INFO    MainThread:2233767 [wandb_setup.py:_flush():68] Configure stats pid to 2233767
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_setup.py:_flush():68] Loading settings from /home/taerim/.config/wandb/settings
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_setup.py:_flush():68] Loading settings from /home/taerim/PRIMNET-V2/wandb/settings
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'code/main.py', 'program': 'code/main.py'}
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_init.py:_log_setup():478] Logging user logs to /home/taerim/PRIMNET-V2/wandb/run-20230206_065239-pitq532x/logs/debug.log
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_init.py:_log_setup():479] Logging internal logs to /home/taerim/PRIMNET-V2/wandb/run-20230206_065239-pitq532x/logs/debug-internal.log
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_init.py:init():518] calling init triggers
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_init.py:init():571] starting backend
2023-02-06 06:52:39,436 INFO    MainThread:2233767 [wandb_init.py:init():575] setting up manager
2023-02-06 06:52:39,438 INFO    MainThread:2233767 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-06 06:52:39,440 INFO    MainThread:2233767 [wandb_init.py:init():582] backend started and connected
2023-02-06 06:52:39,442 INFO    MainThread:2233767 [wandb_init.py:init():670] updated telemetry
2023-02-06 06:52:39,463 INFO    MainThread:2233767 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-02-06 06:52:39,963 INFO    MainThread:2233767 [wandb_run.py:_on_init():2121] communicating current version
2023-02-06 06:52:40,022 INFO    MainThread:2233767 [wandb_run.py:_on_init():2125] got version response 
2023-02-06 06:52:40,022 INFO    MainThread:2233767 [wandb_init.py:init():758] starting run threads in backend
2023-02-06 06:52:40,126 INFO    MainThread:2233767 [wandb_run.py:_console_start():2101] atexit reg
2023-02-06 06:52:40,126 INFO    MainThread:2233767 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-02-06 06:52:40,126 INFO    MainThread:2233767 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-02-06 06:52:40,126 INFO    MainThread:2233767 [wandb_run.py:_redirect():2046] Redirects installed.
2023-02-06 06:52:40,127 INFO    MainThread:2233767 [wandb_init.py:init():798] run started, returning control to user process
2023-02-06 06:53:02,758 WARNING MsgRouterThr:2233767 [router.py:message_loop():77] message_loop has been closed
