train_dataset: 280
val_dataset: 35
test_dataset: 35
ext_dataset: 150
No Weights Found!! Starting From Scratch
val_total_loss:5.45E-02, val_vector_loss:2.09E+00, val_position_loss:4.41E-02,
ext_total_loss:5.20E-02, ext_vector_loss:2.25E+00, ext_position_loss:4.07E-02,
val_total_loss:1.85E-02, val_vector_loss:3.31E-01, val_position_loss:1.69E-02,
ext_total_loss:3.29E-02, ext_vector_loss:7.59E-01, ext_position_loss:2.91E-02,
val_total_loss:5.62E-02, val_vector_loss:6.83E-01, val_position_loss:5.27E-02,
ext_total_loss:7.17E-02, ext_vector_loss:1.26E+00, ext_position_loss:6.53E-02,
val_total_loss:8.03E-02, val_vector_loss:8.34E-01, val_position_loss:7.61E-02,
ext_total_loss:9.55E-02, ext_vector_loss:1.38E+00, ext_position_loss:8.86E-02,
val_total_loss:9.37E-02, val_vector_loss:7.17E-01, val_position_loss:9.01E-02,
ext_total_loss:1.02E-01, ext_vector_loss:1.16E+00, ext_position_loss:9.60E-02,
val_total_loss:6.57E-02, val_vector_loss:3.35E-01, val_position_loss:6.40E-02,
ext_total_loss:7.54E-02, ext_vector_loss:7.59E-01, ext_position_loss:7.16E-02,
val_total_loss:5.25E-02, val_vector_loss:4.40E-01, val_position_loss:5.03E-02,
ext_total_loss:6.23E-02, ext_vector_loss:8.66E-01, ext_position_loss:5.80E-02,
val_total_loss:5.98E-02, val_vector_loss:1.78E+00, val_position_loss:5.10E-02,
ext_total_loss:6.72E-02, ext_vector_loss:2.09E+00, ext_position_loss:5.68E-02,
val_total_loss:7.27E-02, val_vector_loss:3.30E+00, val_position_loss:5.63E-02,
ext_total_loss:6.99E-02, ext_vector_loss:3.40E+00, ext_position_loss:5.29E-02,
val_total_loss:8.65E-02, val_vector_loss:4.00E+00, val_position_loss:6.65E-02,
ext_total_loss:7.88E-02, ext_vector_loss:3.97E+00, ext_position_loss:5.90E-02,
val_total_loss:5.60E-02, val_vector_loss:2.20E+00, val_position_loss:4.51E-02,
ext_total_loss:5.51E-02, ext_vector_loss:2.31E+00, ext_position_loss:4.36E-02,
val_total_loss:4.19E-02, val_vector_loss:9.22E-01, val_position_loss:3.73E-02,
ext_total_loss:5.18E-02, ext_vector_loss:1.33E+00, ext_position_loss:4.51E-02,
val_total_loss:8.40E-02, val_vector_loss:1.17E+00, val_position_loss:7.81E-02,
ext_total_loss:9.41E-02, ext_vector_loss:1.67E+00, ext_position_loss:8.58E-02,
val_total_loss:1.09E-01, val_vector_loss:1.16E+00, val_position_loss:1.03E-01,
ext_total_loss:1.19E-01, ext_vector_loss:1.68E+00, ext_position_loss:1.11E-01,
val_total_loss:9.43E-02, val_vector_loss:6.85E-01, val_position_loss:9.08E-02,
ext_total_loss:1.04E-01, ext_vector_loss:1.20E+00, ext_position_loss:9.84E-02,
val_total_loss:5.63E-02, val_vector_loss:2.31E-01, val_position_loss:5.51E-02,
ext_total_loss:7.01E-02, ext_vector_loss:6.94E-01, ext_position_loss:6.66E-02,
val_total_loss:6.67E-02, val_vector_loss:7.72E-01, val_position_loss:6.28E-02,
ext_total_loss:7.26E-02, ext_vector_loss:1.10E+00, ext_position_loss:6.71E-02,
val_total_loss:7.94E-02, val_vector_loss:2.50E+00, val_position_loss:6.69E-02,
ext_total_loss:8.18E-02, ext_vector_loss:2.65E+00, ext_position_loss:6.85E-02,
